# Version 7.6
# Must limit descriptions to 40 characters !!!!
#
#  Board Table Format:
#
#Board Number	Board Title	ECO Number	ECO Description
#

BOARD TABLE

004	"EDGE-2 Processor f/2 2Mp-FB's"
B67	"GT Plus Graphics f/1 1Mp Monitor (V-76)"

B68	"GT II Graphics f/1 1Mp Monitor (V-76)"

B70	"GT II Graphics f/2 1Mp Monitors (V-76)"

B92	"GT II Graphics f/1 2Mp Monitor (V-60/76)"

B93	"GT II Graphics f/2 2Mp Monitors (V-60/76)"

B99	"NTSC Frame Grabber for 3000 Series"

C01	"PAL Frame Grabber for 3000 series"

C02	"NTSC Frame Grabber for 6000 series"

C03	"PAL Frame Grabber for 6000 series"

c05	"25Mhz GTII Graphics f/1 1Mp Monitor"

c06	"25Mhz GTII Graphics f/2 1Mp Monitors"

C41	"GTII 60/76Hz Graphics f/1 2Mp Monitor"

C42	"GTII 60/76Hz Graphics f/2 2Mp Monitor"
#
#                         Family Table Format:
#
#    __ decimal value (IDPROMS return HEX values)
#   /
#  /
#Family  Feature             Data     Data      Feature
#Code     Mask               Type     Value     Description
#----------------------------------------------------------------------
#                               1 - Data must match "value" exactly
#                               2 - Data is a printable field
#

FAMILY TABLE

#12=0x0C: SR VME-Adapter (617,663)
12	0x000000000000ffff	1	0x0000	"IBM Serial Comm. I/F"
	0x000000000000ffff	1	0x0001	"IEEE 488 GPIB Interface"
	0x000000000000ffff	1	0x0002	"32 Bit DMA Controller"
	0x000000000000ffff	1	0x0003	"Real-Time Clock Timer"
	0x000000000000ffff	1	0x0004	"16 Channel RS-232 Controller"
	0x000000000000ffff	1	0x0005	"Frame Grabber"
	0x000000000000ffff	1	0x0006	"Special Raytheon Interface"
	0x000000000000ffff	1	0x0007	"Token Ring Network Interface"
	0x000000000000ffff	1	0x0008	"X.25 Network Interface"
	0x000000000000ffff	1	0x0009	"VITEC Interface"
	0x000000000000ffff	1	0x000a	"Radstone"
	0x000000000000ffff	1	0x000b	"Optronics SCSI Adapter"
	0x000000000000ffff	1	0x000c	"Xylogics XV-7800 IPI-2"
	0x000000000000ffff	1	0x000d	"X.25 Controller (Dual T1)"
	0x000000000000ffff	1	0xffff	"Generic VME Adapter"
	0x000000000000ffff	2	0	"VME Board Type %04d"

#40=0x28: SRX VME Adapter (956)
40	0x000000000000ffff	1	0x0000	"IBM Serial Comm. I/F"
	0x000000000000ffff	1	0x0001	"IEEE 488 GPIB Interface"
	0x000000000000ffff	1	0x0002	"32 Bit DMA Controller"
	0x000000000000ffff	1	0x0003	"Real-Time Clock Timer"
	0x000000000000ffff	1	0x0004	"16 Channel RS-232 Controller"
	0x000000000000ffff	1	0x0005	"Frame Grabber"
	0x000000000000ffff	1	0x0006	"Special Raytheon Interface"
	0x000000000000ffff	1	0x0007	"Token Ring Network Interface"
	0x000000000000ffff	1	0x0008	"X.25 Network Interface"
	0x000000000000ffff	1	0x0009	"VITEC Interface"
	0x000000000000ffff	1	0x000a	"Radstone"
	0x000000000000ffff	1	0x000b	"Optronics SCSI Adapter"
	0x000000000000ffff	1	0x000c	"Xylogics XV-7800 IPI-2"
	0x000000000000ffff	1	0x000d	"X.25 Controller (Dual T1)"
	0x000000000000ffff	1	0xffff	"Generic VME Adapter"
	0x000000000000ffff	2	0	"VME Board Type %04d"
